Release_Date,Title,Production company,Cast and crew,Genre
4-Apr-08,The Ruins,Paramount Pictures / DreamWorks Pictures / Spyglass Entertainment / Red Hour Films,"Carter Smith (director); Scott B. Smith (screenplay); Jonathan Tucker, Jena Malone, Shawn Ashmore, Laura Ramsey, Joe Anderson, Dimitri Baveas, Jesse Ramirez, Jordan Patrick Smith, Karen Strassman, Sergio Calderon",Horror
4-Apr-08,Shine a Light ‡,Paramount Classics / Shangri-La Entertainment,"Martin Scorsese (director); Mick Jagger, Keith Richards, Charlie Watts, Ronnie Wood",Concert
11-Apr-08,Never Forever,Arts Alliance America,"Gina Kim (director/screenplay); Vera Farmiga, Ha Jung-woo, David Lee McInnis, Jackson Pace, Alex Manette, Shirley Roeca, Marceline Hugot","Romance, Drama"
11-Apr-08,Prom Night,Screen Gems / Original Film / Newmarket Films,"Nelson McCormick (director); J.S. Cardone (screenplay); Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis, Collins Pennie, Kelly Blatz, James Ransone, Brianne Davis, Johnathon Schaech, Idris Elba, Jessalyn Gilsig, Linden Ashby, Kellan Lutz, Mary Mara, Ming-Na Wen, Jana Kramer, Rachel Specter, Valeri Ross, Lori Heuring, Nicholas James, Joshua Leonard",Slasher
11-Apr-08,Smart People,Miramax Films / Groundswell Entertainment,"Noam Murro (director); Mark Poirier (screenplay); Dennis Quaid, Sarah Jessica Parker, Elliot Page, Thomas Haden Church, Ashton Holmes, Christine Lahti, Camille Mana, David Denman, Scott A. Martin, Don Wadsworth, Richard John Walters","Comedy, Drama"
11-Apr-08,Street Kings,Fox Searchlight Pictures / Regency Enterprises,"David Ayer (director); James Ellroy, Kurt Wimmer, Jamie Moss (screenplay); Keanu Reeves, Forest Whitaker, Hugh Laurie, Chris Evans, Common, The Game, Naomie Harris, John Corbett, Cedric the Entertainer, Jay Mohr, Terry Crews, Cle Shaheed Sloan, Martha Higareda, Amaury Nolasco, Clifton Powell, Noel G.","Crime, Thriller"
11-Apr-08,The Visitor ‡,Overture Films / Groundswell Entertainment / Participant Productions,"Tom McCarthy (director/screenplay); Richard Jenkins, Haaz Sleiman, Danai Gurira, Hiam Abbass, Richard Kind, Michael Cumpsty, Marian Seldes",Drama
18-Apr-08,88 Minutes,TriStar Pictures / Millennium Films / Emmett/Furla Films,"Jon Avnet (director); Gary Scott Thompson (screenplay); Al Pacino, Alicia Witt, Leelee Sobieski, William Forsythe, Amy Brenneman, Deborah Kara Unger, Neal McDonough, Benjamin McKenzie, Leah Cairns, Stephen Moyer, Christopher Redman, Brendan Fletcher, Michael Eklund, Trilby Glover, Carrie Genzel, Kristina Copeland, Tammy Hui, Vicky Huang, Victoria Tennant II, Michal Yannai, Paul Campbell",Thriller
18-Apr-08,Anamorph ‡,IFC Films,"Henry S. Miller (director/screenplay); Tom Phelan (screenplay); Willem Dafoe, Scott Speedman, Peter Stormare, Clea Duvall, James Rebhorn, Mick Foley, Yul Vazquez, Amy Carlson, Don Harvey, Paul Lazar, Edward Hibbert, Deborah Harry, Amir Arison",Thriller
18-Apr-08,Expelled: No Intelligence Allowed,Rocky Mountain Pictures,Nathan Frankowski (director); Ben Stein,"Documentary, Propaganda"
18-Apr-08,The Forbidden Kingdom,Lionsgate / The Weinstein Company / Casey Silver Productions / Relativity Media,"Rob Minkoff (director); John Fusco (screenplay); Jackie Chan, Jet Li, Michael Angarano, Collin Chou, Liu Yi Fei, Li Bingbing, Deshun Wang","Fantasy, Kung Fu"
18-Apr-08,Forgetting Sarah Marshall,Universal Pictures,"Nicholas Stoller (director); Jason Segel (screenplay); Jason Segel, Kristen Bell, Mila Kunis, Russell Brand, Bill Hader, Jonah Hill, Liz Cackowski, Da'Vone McDonald, Jack McBrayer, Maria Thayer, Paul Rudd, Jason Bateman, William Baldwin, Teila Tuli, Branscombe Richmond, Kristen Wiig, Tim Blaney, Julianne Buescher, Kevin Carlson, Leslie Carrara-Rudolph, Scott Land, Drew Massey, Michelan Sisti, Victor Yerrid","Romance, Comedy"
18-Apr-08,The Life Before Her Eyes,Magnolia Pictures,"Vadim Perelman (director); Emil Stern (screenplay); Uma Thurman, Evan Rachel Wood, Eva Amurri, Brett Cullen, Gabrielle Brennan, Adam Chanler-Berat, Oscar Isaac, Maggie Lacey, Jewel Donohue, Tanner Max Cohen, Lynn Cohen, John Magaro, Molly Price, Isabel Keating, Nathalie Paulding, Mike Slater",Thriller
18-Apr-08,Where in the World Is Osama bin Laden? ‡,The Weinstein Company,Morgan Spurlock (director/screenplay); Jeremy Chilnick (screenplay); Morgan Spurlock,Documentary
18-Apr-08,Young@Heart ‡,Fox Searchlight Pictures,Stephen Walker (director); Bob Cilman,Documentary
25-Apr-08,Baby Mama,Universal Pictures / Relativity Media,"Michael McCullers (director/screenplay); Tina Fey, Amy Poehler, Greg Kinnear, Dax Shepard, Romany Malco, Maura Tierney, Holland Taylor, Steve Martin, Sigourney Weaver, Stephen Mailer, Siobhan Fallon Hogan, Kevin Collins, Will Forte, Denis O'Hare, Fred Armisen, James Rebhorn, John Hodgman, Tom McCarthy, Jason Mantzoukas, Dave Finkel, Brian Stack","Romance, Comedy"
25-Apr-08,Deal,Metro-Goldwyn-Mayer,"Gil Cates Jr. (director/screenplay); Mark Weinstock (screenplay); Bret Harrison, Burt Reynolds, Charles Durning, Jennifer Tilly, Shannon Elizabeth, Maria Mason, Gary Grubbs, Caroline McKinley, Brandon Olive, Jon Eyez, J.D. Evermore, Billy Slaughter, Courtney Friel, Phil Laak, Antonio Esfandiari, Vincent Van Patten, Scott Lazar, Chris Moneymaker, Greg Raymer, Isabelle Mercier, Mike Sexton","Poker, Drama"
25-Apr-08,Deception,20th Century Fox,"Marcel Langenegger (director); Mark Bomback (screenplay); Hugh Jackman, Ewan McGregor, Michelle Williams, Charlotte Rampling, Lisa Gay Hamilton, Maggie Q, Natasha Henstridge, Lynn Cohen, Danny Burstein, Malcolm Goodwin","Crime, Thriller"
25-Apr-08,Harold & Kumar Escape from Guantanamo Bay,New Line Cinema / Mandate Pictures,"Jon Hurwitz, Hayden Schlossberg (directors/screenplay); Kal Penn, John Cho, Danneel Harris, Rob Corddry, Roger Bart, Eric Winter, Neil Patrick Harris, Paula Garcés, Amir Talai, David Krumholtz, Eddie Kaye Thomas, Christopher Meloni, Richard Christy, Clyde Kusatsu, Beverly D'Angelo, Jon Reep, Ed Helms, Adam Herschman, Jack Conley, Tamara Feldman, Ava Santana, Randal Reeder, James Adomian, Frank Lee, Echo Valley, Missi Pyle, Wilbur Fitzgerald, Jason Konopisos, Alec Rayme","Comedy, Stoner"
25-Apr-08,Rogue ‡,Dimension Films,"Greg McLean (director/screenplay); Radha Mitchell, Michael Vartan, Sam Worthington, Stephen Curry, Celia Ireland, John Jarratt, Heather Mitchell, Geoff Morrell, Mia Wasikowska, Caroline Brazier, Robert Taylor, Barry Otto, Damien Richardson",Horror
25-Apr-08,Son of Rambow ‡,Paramount Vantage,"Garth Jennings (director/screenplay); Bill Milner, Will Poulter, Jules Sitruk, Jessica Hynes, Neil Dudgeon, Anna Wing, Ed Westwick, Eric Sykes, Asa Butterfield, Adam Godley, Adam Buxton, Paul Ritter, Edgar Wright, Charlie Thrift, Zofia Brooks, Tallulah Evans",Comedy
30-Apr-08,Mister Lonely,IFC Films,"Harmony Korine (director/screenplay); Avi Korine (screenplay); Diego Luna, Samantha Morton, Denis Lavant, Werner Herzog, James Fox, Anita Pallenberg, Melita Morgan, Jason Pennycooke, Esmé Creed-Miles, Leos Carax, Quentin Grosset, Rachel Korine, Joseph Morgan, Richard Strange, Daniel Rovai, Mal Whiteley, Nigel Cooper, Michael-Joel Stuart, David Blaine, Angel Morgan","Comedy, Drama"
2-May-08,Iron Man,Paramount Pictures / Marvel Studios,"Jon Favreau (director); Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway (screenplay); Robert Downey Jr., Terrence Howard, Jeff Bridges, Shaun Toub, Gwyneth Paltrow, Faran Tahir, Paul Bettany, Leslie Bibb, Clark Gregg, Will Lyman, Jon Favreau, Samuel L. Jackson, Stan Lee, Peter Billingsley, Tom Morello, Jim Cramer",Superhero
2-May-08,Made of Honor,Columbia Pictures / Relativity Media / Original Film,"Paul Weiland (director); Adam Sztykiel, Deborah Kaplan, Harry Elfont (screenplay); Patrick Dempsey, Michelle Monaghan, Kevin McKidd, Kathleen Quinlan, Sydney Pollack, Chris Messina, Kadeem Hardison, Richmond Arquette, Busy Philipps, Whitney Cummings, Sarah Wright, Emily Nelson, James B. Sikking, Kevin Sussman, Beau Garrett, Kelly Carlson, Valerie Edmond, Hannah Gordon, Eoin McCarthy, Clive Russell, Mary Birdsong, Murray McArthur","Romance, Comedy"
2-May-08,Redbelt ‡,Sony Pictures Classics,"David Mamet (director/screenplay); Chiwetel Ejiofor, Tim Allen, Alice Braga, Randy Couture, Ricky Jay, Joe Mantegna, Emily Mortimer, David Paymer, Rebecca Pidgeon, Rodrigo Santoro, Jose Pablo Cantillo, Caroline de Souza Correa, Damon Herriman, Dan Inosanto, Enson Inoue, John Machado, Ray Mancini, Max Martini, Cyril Takayama, Jennifer Grey, Jake Johnson, Ed O'Neill, Mike Goldberg",Martial Arts
2-May-08,Then She Found Me,ThinkFilm,"Helen Hunt (director/screenplay); Alice Arlen, Victor Levin (screenplay); Helen Hunt, Bette Midler, Colin Firth, Matthew Broderick, Ben Shenkman, Salman Rushdie, John Benjamin Hickey, Lynn Cohen, Maggie Siff, Tommy Nelson, Janeane Garofalo, Tim Robbins","Comedy, Drama"
9-May-08,The Fall,Roadside Attractions,"Tarsem Singh (director/screenplay); Dan Gilroy, Nico Soultanakis (screenplay); Lee Pace, Justine Waddell, Daniel Caltagirone, Robin Smith, Leo Bill, Emil Hostina, Julian Bleach, Marcus Wesley, Catinca Untaru, Jeetu Verma, Kim Uylenbroek, Ronald France","Adventure, Fantasy"
9-May-08,Speed Racer,Warner Bros. Pictures / Village Roadshow Pictures / Silver Pictures,"The Wachowskis (directors/screenplay); Emile Hirsch, Christina Ricci, John Goodman, Susan Sarandon, Matthew Fox, Roger Allam, Benno Fürmann, Hiroyuki Sanada, Rain, Richard Roundtree, Kick Gurry, Paulie Litt, John Benfield, Christian Oliver, Yu Nan, Nayo Wallace, Melvil Poupaud, Togo Igawa, Ariel Winter, Scott Porter, Peter Fernandez, Corinne Orr, Moritz Bleibtreu, Joon Park, Milka Duno, Ralph Herforth, Nicholas Elia","Sports, Action, Comedy"
9-May-08,The Tracey Fragments,ThinkFilm,"Bruce McDonald (director); Maureen Medved (screenplay); Ellen Page, Ari Cohen, Maxwell McCabe-Lokos, Slim Twig, Julian Richings, Kate Todd, Ryan Cooley, Stephen Amell, George Stroumboulopoulos, Erin McMurtry, Libby Adams, Zie Souwand, Derek Scott, Sydney Rodgers",Drama
9-May-08,What Happens in Vegas,20th Century Fox / Regency Enterprises,"Tom Vaughan (director); Dana Fox (screenplay); Ashton Kutcher, Cameron Diaz, Rob Corddry, Lake Bell, Dennis Farina, Dennis Miller, Krysten Ritter, Jason Sudeikis, Michelle Krusiec, Billy Eichner, Queen Latifah, Zach Galifianakis, Treat Williams, Deirdre O'Connell, Andrew Daly, Amanda Setton, Ben Best, Maddie Corman","Romance, Comedy"
16-May-08,The Chronicles of Narnia: Prince Caspian,Walt Disney Pictures / Walden Media,"Andrew Adamson (director/screenplay); Christopher Markus, Stephen McFeely (screenplay); Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Sergio Castellitto, Pierfrancesco Favino, Damián Alcázar, Vincent Grass, Alicia Borrachero, Simón Andreu, Predrag Bjelac, Liam Neeson, Peter Dinklage, Warwick Davis, Ken Stott, Eddie Izzard, Cornell John, Yemi Akinyemi, David Walliams, Klara Issova, Jan Pavel Filipensky, Shane Rangi, Tilda Swinton, Douglas Gresham, David Bowles, Juan Diego Montoya Garcia, Lejla Abbasová, Carlos Da Silva, Gomez Mussenden",Fantasy
16-May-08,How the Garcia Girls Spent Their Summer,Maya Entertainment,"Georgina Riedel (director/screenplay); America Ferrera, Elizabeth Peña, Lucy Gallardo, Eliana Alexander, David Barrera, Steven Bauer, Alyssa Diaz, Leo Minaya, Patricia de Leon, Victor Wolf, Ana Cervantes, Jorge Cervera Jr., Marina Dena-Santo, Ricki Lopez, Alberto Montero, Rick Najera, Jane Sevilla, Perla Walters",Comedy
20-May-08,The Flock,Genius Products,"Andrew Lau (director); Hans Bauer, Craig Mitchell (screenplay); Richard Gere, Claire Danes, KaDee Strickland, Avril Lavigne, Matt Schulze, Carmen Serano, Kristina Sisco, Ray Wise, French Stewart, Paul McGowen, Russell Sams",Thriller
22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures / Lucasfilm,"Steven Spielberg (director); David Koepp (screenplay); Harrison Ford, Shia LaBeouf, Cate Blanchett, Karen Allen, Ray Winstone, John Hurt, Jim Broadbent, Igor Jijikine, Joel Stoffer, Neil Flynn, Alan Dale, Andrew Divoff, Pasha D. Lychnikoff, Ilia Volok, Dimitri Diatchenko, Ernie Reyes Jr., Chet Hanks","Action, Adventure"
23-May-08,"War, Inc.",First Look Studios,"Joshua Seftel (director); John Cusack, Mark Leyner, Jeremy Pikser (screenplay); John Cusack, Hilary Duff, Marisa Tomei, Joan Cusack, Dan Aykroyd, Ben Kingsley, Ben Cross, Lyubomir Neikov, Sergej Trifunović, Nikolay Stanoev, Bashar Rahal, Ned Bellamy, Montel Williams, John McLaughlin","Action, Comedy"
25-May-08,Recount,HBO Films,"Jay Roach (director); Danny Strong (screenplay); Kevin Spacey, Bob Balaban, Ed Begley Jr., Laura Dern, John Hurt, Denis Leary, Bruce McGill, Tom Wilkinson, Bruce Altman, Gary Basaraba, Mitch Pileggi, Jayne Atkinson, Marcia Jean Kurtz, Raymond Forchion, Marc Macaulay, Antoni Corone, William Schallert, Bruce Gray, Derek Cecil, Tom Hillmann, Adam LeFevre",Drama
28-May-08,Savage Grace ‡,IFC Films,"Tom Kalin (director); Howard A. Rodman (screenplay); Julianne Moore, Stephen Dillane, Eddie Redmayne, Elena Anaya, Unax Ugalde, Belén Rueda, Hugh Dancy",Drama
30-May-08,The Foot Fist Way,Paramount Vantage / MTV Films / Gary Sanchez Productions,"Jody Hill (director/screenplay); Danny McBride, Ben Best (screenplay); Danny McBride, Ben Best, Mary Jane Bostic, Spencer Moreno, Carlos Lopez IV, Jody Hill, Collette Wolfe, Jonathan M. Ewart","Martial Arts, Black Comedy"
30-May-08,Sex and the City,New Line Cinema / HBO Films,"Michael Patrick King (director/screenplay); Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Jennifer Hudson, David Eigenberg, Jason Lewis, Evan Handler, Willie Garson, Mario Cantone, Lynn Cohen, Candice Bergen, Annaleigh Ashford, André Leon Talley, Gilles Marini, Monica Mayhem, Julie Halston, Daphne Rubin-Vega, Ben Rindner, Bridget Everett, Joseph Pupo, Alexander and Parker Fong","Romance, Comedy"
30-May-08,The Strangers,Rogue Pictures / Intrepid Pictures,"Bryan Bertino (director/screenplay); Liv Tyler, Scott Speedman, Gemma Ward, Kip Weeks, Laura Margolis, Glenn Howerton, Alex Fisher, Peter Clayton-Luce",Slasher
6-Jun-08,And When Did You Last See Your Father?,Sony Pictures Classics,"Anand Tucker (director); David Nicholls (screenplay); Jim Broadbent, Colin Firth, Juliet Stevenson, Gina McKee, Claire Skinner, Sarah Lancashire, Matthew Beard, Elaine Cassidy, Justin McDonald, Carey Mulligan, Bradley Johnson, Rhiannon Howden",Drama
6-Jun-08,Kung Fu Panda,Paramount Pictures / DreamWorks Animation,"John Stevenson, Mark Osborne (directors); Jonathan Aibel, Glenn Berger (screenplay); Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, Randall Duk Kim, James Hong, Dan Fogler, Michael Clarke Duncan, Wayne Knight, Kyle Gass, JR Reed, Laura Kightlinger, Kent Osborne, Kresimir Mikic, Robert Clotworthy, Steve Bulen",Comedy
6-Jun-08,Mongol ‡,Picturehouse,"Sergei Bodrov (director/screenplay); Arif Aliyev (screenplay); Tadanobu Asano, Sun Honglei, Chuluuny Khulan, Amadu Mamadakov, Ba Sen, Sai Xing Ga, Bu Ren, Aliya, He Qi, Deng Ba Te Er, Zhang Jiong, Ben Hon Sun, Odnyam Odsuren, Amarbold Tuvshinbayar, Bayertsetseg Erdenebat","Historical, Epic"
6-Jun-08,The Promotion,Dimension Films,"Steven Conrad (director/screenplay); Seann William Scott, John C. Reilly, Jenna Fischer, Lili Taylor, Fred Armisen, Gil Bellows, Bobby Cannavale, Rick Gonzalez, Chris Conrad, Jason Bateman, Adrian Martinez, Masi Oka, Chris Gardner, Richard Henzel",Comedy
6-Jun-08,You Don't Mess with the Zohan,Columbia Pictures / Relativity Media / Happy Madison Productions,"Dennis Dugan (director); Adam Sandler, Robert Smigel, Judd Apatow (screenplay); Adam Sandler, John Turturro, Emmanuelle Chriqui, Nick Swardson, Lainie Kazan, Ido Mosseri, Rob Schneider, Dave Matthews, Michael Buffer, Sayed Badreya, Daoud Heidami, Kevin Nealon, Robert Smigel, Dina Doronne, Shelley Berman, John Paul DeJoria, Alec Mapa, Ahmed Ahmed, Guri Weinberg, Mousa Kraish, Mike Iorio, Maysoon Zayid, Barry Livingston, Henry Winkler, Kevin James, Chris Rock, Mariah Carey, John McEnroe, George Takei, Bruce Vilanch, Charlotte Rae, Edmund Lyndeck",Comedy
13-Jun-08,The Children of Huang Shi,Sony Pictures Classics / Hyde Park Entertainment,"Roger Spottiswoode (director); Jane Hawksley, James MacManus (screenplay); Jonathan Rhys-Meyers, Radha Mitchell, Chow Yun-fat, Michelle Yeoh, Guang Li, Matt Walker, David Wenham, Anastasia Kolpakova, Ping Su, Lin Ji","Historical, War, Drama"
13-Jun-08,The Happening,20th Century Fox / UTV Motion Pictures / Spyglass Entertainment,"M. Night Shyamalan (director/screenplay); Mark Wahlberg, Zooey Deschanel, John Leguizamo, Betty Buckley, Ashlyn Sanchez, Frank Collison, Victoria Clark, Jeremy Strong, Brian O'Halloran, Alan Ruck, Mara Hobel, Joel de la Fuente, Spencer Breslin, Robert Bailey, Jr., Charlie Saxton, M. Night Shyamalan, Roberto Lombardi, Mary Ellen Driscoll",Thriller
13-Jun-08,The Incredible Hulk,Universal Pictures / Marvel Studios,"Louis Leterrier (director); Zak Penn (screenplay); Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson, Ty Burrell, Lou Ferrigno, Robert Downey Jr., Stan Lee, Michael K. Williams, Paul Soles, Rickson Gracie, Débora Nascimento, Peter Mensah, Martin Starr, Fred Tatasciore, Christina Cabot, P.J. Kerr, Nicholas Rose",Superhero
13-Jun-08,Quid Pro Quo,Magnolia Pictures,"Carlos Brooks (director/screenplay); Nick Stahl, Vera Farmiga, Rachel Black, Jessica Hecht, Jacob Pitts, Ashlie Atkinson, Pablo Schreiber, Jeane Fournier, Michal Sinnott, Joshua Leonard, James Frain, Aimee Mullins, Dylan Bruno, Kate Burton, Ellen Marlow, Tommy Nelson",Drama
20-Jun-08,Brick Lane,Sony Pictures Classics,"Sarah Gavron (director); Monica Ali, Laura Jones, Abi Morgan (screenplay); Tannishtha Chatterjee, Satish Kaushik, Christopher Simpson, Naeema Begum, Lana Rahman, Lalita Ahmed, Harvey Virdi, Zafreen, Harsh Nayyar, Abdul Nlephaz, Bijal Chandaria",Drama
20-Jun-08,Get Smart,Warner Bros. Pictures / Village Roadshow Pictures / Mosaic Media Group,"Peter Segal (director); Tom J. Astle, Matt Ember (screenplay); Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terence Stamp, Masi Oka, Nate Torrence, Dalip Singh, Ken Davitian, Terry Crews, David Koechner, James Caan, David S. Lee, Lindsay Hollister, Bill Murray, Patrick Warburton, John Farley, Jonathan Loughran, Jessica Barth, Larry Miller, Kevin Nealon, Blake Clark, Cedric Yarbrough, Stephen Dunham, Ryan Seacrest, Vinicius Machado, Kerry Rossall, Bernie Kopell","Action, Spy, Comedy"
20-Jun-08,Kit Kittredge: An American Girl ‡,Picturehouse / HBO Films,"Patricia Rozema (director); Ann Peacock (screenplay); Abigail Breslin, Julia Ormond, Chris O'Donnell, Joan Cusack, Stanley Tucci, Max Thieriot, Jane Krakowski, Madison Davenport, Zach Mills, Austin MacDonald, Willow Smith, Wallace Shawn, Glenne Headly, Colin Mochrie, Kenneth Welsh, Brieanne Jensen, Erin Hilgartner, Dylan Scott Smith","Comedy, Drama"
20-Jun-08,The Love Guru,Paramount Pictures / Spyglass Entertainment,"Marco Schnabel (director); Mike Myers, Graham Gordy (screenplay); Mike Myers, Jessica Alba, Justin Timberlake, Romany Malco, Meagan Good, Verne Troyer, John Oliver, Omid Djalili, Ben Kingsley, Telma Hopkins, Manu Narayan, Stephen Colbert, Jim Gaffigan, Rob Huebel, Daniel Tosh, Samantha Bee, Mariska Hargitay, Jessica Simpson, Kanye West, Val Kilmer, Rob Blake, Deepak Chopra, Oprah Winfrey","Romance, Comedy"
27-Jun-08,Finding Amanda,Magnolia Pictures,"Peter Tolan (director/screenplay); Matthew Broderick, Brittany Snow, Peter Facinelli, Maura Tierney, Steve Coogan, Daniel Roebuck, Bill Fagerbakke, J.P. Manoux, Jennifer Hall, Allie McCulloch, Kate Micucci","Comedy, Drama"
